date,link
2022-07-11,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=11&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-12,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=12&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-13,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=13&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-14,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=14&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-15,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=15&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-16,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=16&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-17,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=17&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-18,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=18&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-19,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=19&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-20,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=20&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-21,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=21&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-22,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=22&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-23,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=23&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-24,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=24&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-25,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=25&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-26,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=26&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-27,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=27&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-28,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=28&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-29,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=29&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-30,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=30&yr=2022&trackco=ALL;ALL&cl=Y
2022-07-31,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=7&da=31&yr=2022&trackco=ALL;ALL&cl=Y
2022-08-01,https://www.equibase.com/premium/eqpVchartBuy.cfm?mo=8&da=1&yr=2022&trackco=ALL;ALL&cl=Y
