track,date,url
EVD,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=EVD&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
FON,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=FON&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
GG,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GG&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
GP,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GP&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
HAW,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=HAW&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
CT,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CT&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
KEE,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=KEE&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
LRL,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=LRL&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
LA,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=LA&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
MVR,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=MVR&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
MON,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=MON&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
OP,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=OP&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
RP,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=RP&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
SA,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=SA&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
TAM,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TAM&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
TRY,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TRY&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
WO,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=WO&CTRY=CAN&DT=04/16/2022&DAY=D&STYLE=EQB
CMR,04/17/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CMR&CTRY=PR&DT=04/17/2022&DAY=D&STYLE=EQB
GG,04/17/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GG&CTRY=USA&DT=04/17/2022&DAY=D&STYLE=EQB
GP,04/17/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GP&CTRY=USA&DT=04/17/2022&DAY=D&STYLE=EQB
HAW,04/17/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=HAW&CTRY=USA&DT=04/17/2022&DAY=D&STYLE=EQB
SA,04/17/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=SA&CTRY=USA&DT=04/17/2022&DAY=D&STYLE=EQB
WO,04/17/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=WO&CTRY=CAN&DT=04/17/2022&DAY=D&STYLE=EQB
CMR,04/18/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CMR&CTRY=PR&DT=04/18/2022&DAY=D&STYLE=EQB
MNR,04/18/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=MNR&CTRY=USA&DT=04/18/2022&DAY=D&STYLE=EQB
PRX,04/18/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=PRX&CTRY=USA&DT=04/18/2022&DAY=D&STYLE=EQB
TUP,04/18/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TUP&CTRY=USA&DT=04/18/2022&DAY=D&STYLE=EQB
